1;Тихомирнова;20312;2100;;;;;;;;
2;Пушкина;18032;1896;;;;;;;;
3;Вишневского;51364;4380;;;;;;;;
4;К.Маркса;29048;2520;;;;;;;;
5;Булак;17719;1740;;;;;;;;
6;Дзержинского;16880;1760;;;;;;;;
7;Бутлерова;7714;890;;;;;;;;
8;Профсоюзная;18964;1572;;;;;;;;
9;Тукая;10601;1068;;;;;;;;
10;Павлюхина;26700;2764;;;;;;;;
11;Салимжанова;16322;1656;;;;;;;;
12;Московская;12301;1128;;;;;;;;
13;П.Победы;71938;6084;;;;;;;;
14;Амирхана;44150;3480;;;;;;;;
15;Чистопольская;26846;2592;;;;;;;;
16;Чуйкова;9238;1152;;;;;;;;
17;Ершова;30987;2964;;;;;;;;
18;Бондаренко;6350;560;;;;;;;;
19;Яруллина;23007;2150;;;;;;;;
20;Х.Такташ;6100;750;;;;;;;;
21;Ямашева;50251;4500;;;;;;;;
22;Короленко;16692;1600;;;;;;;;
23;Губкина;19133;2000;;;;;;;;
24;Татарстан;30258;3100;;;;;;;;
25;Миннуллина;6660;750;;;;;;;;
26;Ферм.шоссе;12721;1400;;;;;;;;
27;Декабристов;42526;4200;;;;;;;;
28;Саид Галеева;25317;2550;;;;;;;;
29;Кремл.набережная;11595;1600;;;;;;;;
30;Чернышевского;10131;1068;;;;;;;;
31;Ташаяк;9769;1128;;;;;;;;
32;Б.Крыловка;25761;2328;;;;;;;;
33;Вахитова;15408;1728;;;;;;;;
34;Камала;10492;972;;;;;;;;
35;Джалиля;3050;350;;;;;;;;
36;Ибрагимова;24480;1944;;;;;;;;
37;Хакима;10904;1212;;;;;;;;
38;Астрономическая;20404;1656;;;;;;;;
39;Камалеева;16891;1812;;;;;;;;
40;Космонавтов;20240;1776;;;;;;;;
